ScientificName	AphiaID	Match type	LSID	ScientificName_1	AphiaID_accepted	ScientificName_accepted
Clibanarius albidigitus	367489	exact	urn:lsid:marinespecies.org:taxname:367489	Clibanarius albidigitus	367489	Clibanarius albidigitus
Cliona celata	134121	exact	urn:lsid:marinespecies.org:taxname:134121	Cliona celata	134121	Cliona celata
Codium dimorphum	373433	exact	urn:lsid:marinespecies.org:taxname:373433	Codium dimorphum	373433	Codium dimorphum
Codium sp.	143999	exact	urn:lsid:marinespecies.org:taxname:143999	Codium	143999	Codium
Colpomenia sinuosa	145857	exact	urn:lsid:marinespecies.org:taxname:145857	Colpomenia sinuosa	145857	Colpomenia sinuosa
Colpomenia sinuosa (Mertens ex Roth) Derbs et Solier	145857	exact	urn:lsid:marinespecies.org:taxname:145857	Colpomenia sinuosa	145857	Colpomenia sinuosa
Colpophyllia natans	289697	exact	urn:lsid:marinespecies.org:taxname:289697	Colpophyllia natans	289697	Colpophyllia natans
Columbella major	511462	exact	urn:lsid:marinespecies.org:taxname:511462	Columbella major	511462	Columbella major
Columbella sp	137803	exact	urn:lsid:marinespecies.org:taxname:137803	Columbella	137803	Columbella
Concholepas concholepas	395353	exact	urn:lsid:marinespecies.org:taxname:395353	Concholepas concholepas	395353	Concholepas concholepas
Conus nux	428223	exact	urn:lsid:marinespecies.org:taxname:428223	Conus nux	428223	Conus nux
CORALINA	325747	phonetic	urn:lsid:marinespecies.org:taxname:325747	Corallina	325747	Corallina
Corallina officinalis	145108	exact	urn:lsid:marinespecies.org:taxname:145108	Corallina officinalis	145108	Corallina officinalis
Corallina officinalis var. chilensis	550769	exact	urn:lsid:marinespecies.org:taxname:550769	Corallina officinalis var. chilensis	550769	Corallina officinalis var. chilensis
Corallina panizzoi	372903	exact	urn:lsid:marinespecies.org:taxname:372903	Corallina panizzoi	372903	Corallina panizzoi
Corallina sp	144007	exact	urn:lsid:marinespecies.org:taxname:144007	Corallina	144007	Corallina
Corallinaceae sp.	143691	exact	urn:lsid:marinespecies.org:taxname:143691	Corallinaceae	143691	Corallinaceae
Corallinales	15308	exact	urn:lsid:marinespecies.org:taxname:15308	Corallinales	15308	Corallinales
Corallinophycidae	368687	exact	urn:lsid:marinespecies.org:taxname:368687	Corallinophycidae	368687	Corallinophycidae
Coscinodiscophycidae	148971	exact	urn:lsid:marinespecies.org:taxname:148971	Coscinodiscophycidae	148971	Coscinodiscophycidae
Crepidula arenata	593782	exact	urn:lsid:marinespecies.org:taxname:593782	Crepidula arenata	593782	Crepidula arenata
Crepipatella dilatata	234137	exact	urn:lsid:marinespecies.org:taxname:234137	Crepipatella dilatata	234137	Crepipatella dilatata
Curdiea racovitzae	325488	exact	urn:lsid:marinespecies.org:taxname:325488	Curdiea racovitzae	325488	Curdiea racovitzae
Cyrtograpsus altimanus	444763	exact	urn:lsid:marinespecies.org:taxname:444763	Cyrtograpsus altimanus	444763	Cyrtograpsus altimanus
Derbesia sp.	143814	exact	urn:lsid:marinespecies.org:taxname:143814	Derbesia	143814	Derbesia
Desmanthus sp.	132083	exact	urn:lsid:marinespecies.org:taxname:132083	Desmanthus	132083	Desmanthus
Desmarestia antarctica	325497	exact	urn:lsid:marinespecies.org:taxname:325497	Desmarestia antarctica	325497	Desmarestia antarctica
Diadumene sp.	100728	exact	urn:lsid:marinespecies.org:taxname:100728	Diadumene	100728	Diadumene
Dictyopteris plagiogramma	145359	exact	urn:lsid:marinespecies.org:taxname:145359	Dictyopteris plagiogramma	145359	Dictyopteris plagiogramma
Dictyosphaeria versluysii	214397	exact	urn:lsid:marinespecies.org:taxname:214397	Dictyosphaeria versluysii	214397	Dictyosphaeria versluysii
Dictyota	144086	exact	urn:lsid:marinespecies.org:taxname:144086	Dictyota	144086	Dictyota
Dictyota dichotoma	145367	exact	urn:lsid:marinespecies.org:taxname:145367	Dictyota dichotoma	145367	Dictyota dichotoma
